area_fips,own_code,industry_code,agglvl_code,annual_avg_estabs
24000,5,53,54,7968
24000,5,54,54,40457
24000,5,55,54,1527
24000,5,56,54,12940
24000,5,61,54,4344
24000,5,62,54,22538
24000,5,71,54,3140
24000,5,72,54,13029
24000,5,81,54,20650
24000,5,99,54,123
25000,5,11,54,1036
25000,5,21,54,101
25000,5,22,54,527
25000,5,23,54,22668
25000,5,31-33,54,7218
25000,5,42,54,13925
25000,5,44-45,54,21738
25000,5,48-49,54,4714
25000,5,51,54,10023
25000,5,52,54,11997
25000,5,53,54,8343
25000,5,54,54,43758
25000,5,55,54,1664
25000,5,56,54,15351
25000,5,61,54,4994
25000,5,62,54,74286
25000,5,71,54,4222
25000,5,72,54,16826
25000,5,81,54,24203
25000,5,99,54,292
26000,5,11,54,3697
26000,5,21,54,499
26000,5,22,54,695
26000,5,23,54,24742
26000,5,31-33,54,20734
26000,5,42,54,14420
26000,5,44-45,54,32617
26000,5,48-49,54,8691
26000,5,51,54,10193
26000,5,52,54,15877
26000,5,53,54,9220
26000,5,54,54,45783
26000,5,55,54,1675
26000,5,56,54,18072
26000,5,61,54,4684
26000,5,62,54,37736
26000,5,71,54,4605
26000,5,72,54,21614
26000,5,81,54,26964
26000,5,99,54,4472
27000,5,11,54,3320
27000,5,21,54,263
27000,5,22,54,516
27000,5,23,54,18342
27000,5,31-33,54,8374
27000,5,42,54,15764
27000,5,44-45,54,17529
27000,5,48-49,54,5320
27000,5,51,54,7616
27000,5,52,54,11314
27000,5,53,54,6812
27000,5,54,54,30003
27000,5,55,54,2624
27000,5,56,54,10578
27000,5,61,54,3639
27000,5,62,54,27047
27000,5,71,54,3935
27000,5,72,54,12737
27000,5,81,54,19934
28000,5,11,54,1712
28000,5,21,54,402
28000,5,22,54,558
28000,5,23,54,7089
28000,5,31-33,54,2399
28000,5,42,54,5605
28000,5,44-45,54,12369
28000,5,48-49,54,3486
28000,5,51,54,1512
28000,5,52,54,5886
